judging from previous posts this used to be a good place , but not any longer . [A] [O] [S] [C]	[A] place [O] not any longer [S] bad [C] restaurant general
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food ! [A] [O] [C] [S]	[A] neighborhood [O] great [C] location general [S] good [SSEP] [A] food [O] great [C] food quality [S] good
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food ! [A] [S] [O] [C]	[A] neighborhood [S] good [O] great [C] location general [SSEP] [A] food [S] good [O] great [C] food quality
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food ! [O] [A] [C] [S]	[O] great [A] neighborhood [C] location general [S] good [SSEP] [O] great [A] food [C] food quality [S] good
not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food ! [O] [A] [S] [C]	[O] great [A] neighborhood [S] good [C] location general [SSEP] [O] great [A] food [S] good [C] food quality
i ' ve been there three times and have always had wonderful experiences . [A] [O] [S] [C]	[A] it [O] wonderful [S] good [C] restaurant general
i ' ve been there three times and have always had wonderful experiences . [A] [O] [C] [S]	[A] it [O] wonderful [C] restaurant general [S] good
i ' ve been there three times and have always had wonderful experiences . [A] [S] [O] [C]	[A] it [S] good [O] wonderful [C] restaurant general
i ' ve been there three times and have always had wonderful experiences . [O] [A] [C] [S]	[O] wonderful [A] it [C] restaurant general [S] good
i ' ve been there three times and have always had wonderful experiences . [O] [A] [S] [C]	[O] wonderful [A] it [S] good [C] restaurant general
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . [A] [O] [S] [C]	[A] setting [O] intimate [S] good [C] ambience general [SSEP] [A] service [O] nice [S] good [C] service general [SSEP] [A] it [O] recommend [S] good [C] restaurant miscellaneous
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . [A] [O] [C] [S]	[A] setting [O] intimate [C] ambience general [S] good [SSEP] [A] service [O] nice [C] service general [S] good [SSEP] [A] it [O] recommend [C] restaurant miscellaneous [S] good
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . [A] [S] [O] [C]	[A] setting [S] good [O] intimate [C] ambience general [SSEP] [A] service [S] good [O] nice [C] service general [SSEP] [A] it [S] good [O] recommend [C] restaurant miscellaneous
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . [O] [A] [C] [S]	[O] intimate [A] setting [C] ambience general [S] good [SSEP] [O] nice [A] service [C] service general [S] good [SSEP] [O] recommend [A] it [C] restaurant miscellaneous [S] good
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . [O] [A] [S] [C]	[O] intimate [A] setting [S] good [C] ambience general [SSEP] [O] nice [A] service [S] good [C] service general [SSEP] [O] recommend [A] it [S] good [C] restaurant miscellaneous
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers . [A] [O] [S] [C]	[A] mizu [O] enjoy [S] good [C] restaurant general
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers . [A] [O] [C] [S]	[A] mizu [O] enjoy [C] restaurant general [S] good
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers . [A] [S] [O] [C]	[A] mizu [S] good [O] enjoy [C] restaurant general
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers . [O] [A] [C] [S]	[O] enjoy [A] mizu [C] restaurant general [S] good
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers . [O] [A] [S] [C]	[O] enjoy [A] mizu [S] good [C] restaurant general
even after they overcharged me the last time i was there . [A] [O] [S] [C]	[A] it [O] overcharged [S] bad [C] service general
even after they overcharged me the last time i was there . [A] [O] [C] [S]	[A] it [O] overcharged [C] service general [S] bad
even after they overcharged me the last time i was there . [A] [S] [O] [C]	[A] it [S] bad [O] overcharged [C] service general
even after they overcharged me the last time i was there . [O] [A] [C] [S]	[O] overcharged [A] it [C] service general [S] bad
even after they overcharged me the last time i was there . [O] [A] [S] [C]	[O] overcharged [A] it [S] bad [C] service general
it ' s delicious ! [A] [O] [S] [C]	[A] it [O] delicious [S] good [C] food quality
it ' s delicious ! [A] [O] [C] [S]	[A] it [O] delicious [C] food quality [S] good
it ' s delicious ! [A] [S] [O] [C]	[A] it [S] good [O] delicious [C] food quality
it ' s delicious ! [O] [A] [C] [S]	[O] delicious [A] it [C] food quality [S] good
it ' s delicious ! [O] [A] [S] [C]	[O] delicious [A] it [S] good [C] food quality
moules were excellent , lobster ravioli was very salty ! [A] [O] [S] [C]	[A] moules [O] excellent [S] good [C] food quality [SSEP] [A] lobster ravioli [O] salty [S] bad [C] food quality
moules were excellent , lobster ravioli was very salty ! [A] [O] [C] [S]	[A] moules [O] excellent [C] food quality [S] good [SSEP] [A] lobster ravioli [O] salty [C] food quality [S] bad
moules were excellent , lobster ravioli was very salty ! [A] [S] [O] [C]	[A] moules [S] good [O] excellent [C] food quality [SSEP] [A] lobster ravioli [S] bad [O] salty [C] food quality
moules were excellent , lobster ravioli was very salty ! [O] [A] [C] [S]	[O] excellent [A] moules [C] food quality [S] good [SSEP] [O] salty [A] lobster ravioli [C] food quality [S] bad
moules were excellent , lobster ravioli was very salty ! [O] [A] [S] [C]	[O] excellent [A] moules [S] good [C] food quality [SSEP] [O] salty [A] lobster ravioli [S] bad [C] food quality
took my mom for mother ' s day , and the maitre d ' was pretty rude . [A] [O] [S] [C]	[A] maitre d ' [O] rude [S] bad [C] service general
took my mom for mother ' s day , and the maitre d ' was pretty rude . [A] [O] [C] [S]	[A] maitre d ' [O] rude [C] service general [S] bad
took my mom for mother ' s day , and the maitre d ' was pretty rude . [A] [S] [O] [C]	[A] maitre d ' [S] bad [O] rude [C] service general
took my mom for mother ' s day , and the maitre d ' was pretty rude . [O] [A] [C] [S]	[O] rude [A] maitre d ' [C] service general [S] bad
took my mom for mother ' s day , and the maitre d ' was pretty rude . [O] [A] [S] [C]	[O] rude [A] maitre d ' [S] bad [C] service general
told us to sit anywhere , and when we sat he said the table was reserved . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] service general
told us to sit anywhere , and when we sat he said the table was reserved . [A] [O] [C] [S]	[A] it [O] null [C] service general [S] bad
told us to sit anywhere , and when we sat he said the table was reserved . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] service general
told us to sit anywhere , and when we sat he said the table was reserved . [O] [A] [C] [S]	[O] null [A] it [C] service general [S] bad
told us to sit anywhere , and when we sat he said the table was reserved . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] service general
stepped on my foot on the second time he reached over me to adjust lighting . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] service general
stepped on my foot on the second time he reached over me to adjust lighting . [A] [O] [C] [S]	[A] it [O] null [C] service general [S] bad
stepped on my foot on the second time he reached over me to adjust lighting . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] service general
stepped on my foot on the second time he reached over me to adjust lighting . [O] [A] [C] [S]	[O] null [A] it [C] service general [S] bad
stepped on my foot on the second time he reached over me to adjust lighting . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] service general
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . [A] [O] [S] [C]	[A] dessert [O] tiny [S] bad [C] food style_options [SSEP] [A] dessert [O] null [S] bad [C] food quality [SSEP] [A] dessert [O] overpriced [S] bad [C] food prices
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . [A] [O] [C] [S]	[A] dessert [O] tiny [C] food style_options [S] bad [SSEP] [A] dessert [O] null [C] food quality [S] bad [SSEP] [A] dessert [O] overpriced [C] food prices [S] bad
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . [A] [S] [O] [C]	[A] dessert [S] bad [O] tiny [C] food style_options [SSEP] [A] dessert [S] bad [O] null [C] food quality [SSEP] [A] dessert [S] bad [O] overpriced [C] food prices
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . [O] [A] [C] [S]	[O] tiny [A] dessert [C] food style_options [S] bad [SSEP] [O] null [A] dessert [C] food quality [S] bad [SSEP] [O] overpriced [A] dessert [C] food prices [S] bad
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . [O] [A] [S] [C]	[O] tiny [A] dessert [S] bad [C] food style_options [SSEP] [O] null [A] dessert [S] bad [C] food quality [SSEP] [O] overpriced [A] dessert [S] bad [C] food prices
the drinks are always well made and wine selection is fairly priced . [A] [O] [S] [C]	[A] drinks [O] well made [S] good [C] drinks quality [SSEP] [A] wine selection [O] fairly priced [S] good [C] drinks prices
the drinks are always well made and wine selection is fairly priced . [A] [O] [C] [S]	[A] drinks [O] well made [C] drinks quality [S] good [SSEP] [A] wine selection [O] fairly priced [C] drinks prices [S] good
the drinks are always well made and wine selection is fairly priced . [A] [S] [O] [C]	[A] drinks [S] good [O] well made [C] drinks quality [SSEP] [A] wine selection [S] good [O] fairly priced [C] drinks prices
the drinks are always well made and wine selection is fairly priced . [O] [A] [C] [S]	[O] well made [A] drinks [C] drinks quality [S] good [SSEP] [O] fairly priced [A] wine selection [C] drinks prices [S] good
the drinks are always well made and wine selection is fairly priced . [O] [A] [S] [C]	[O] well made [A] drinks [S] good [C] drinks quality [SSEP] [O] fairly priced [A] wine selection [S] good [C] drinks prices
try their chef ' s specials - - they are to die for . [A] [O] [S] [C]	[A] chef ' s specials [O] die for [S] good [C] food quality
try their chef ' s specials - - they are to die for . [A] [O] [C] [S]	[A] chef ' s specials [O] die for [C] food quality [S] good
try their chef ' s specials - - they are to die for . [A] [S] [O] [C]	[A] chef ' s specials [S] good [O] die for [C] food quality
try their chef ' s specials - - they are to die for . [O] [A] [C] [S]	[O] die for [A] chef ' s specials [C] food quality [S] good
try their chef ' s specials - - they are to die for . [O] [A] [S] [C]	[O] die for [A] chef ' s specials [S] good [C] food quality
service is not exactly five star , but thats not really a big deal . [A] [O] [S] [C]	[A] service [O] not exactly five star [S] ok [C] service general
service is not exactly five star , but thats not really a big deal . [A] [O] [C] [S]	[A] service [O] not exactly five star [C] service general [S] ok
service is not exactly five star , but thats not really a big deal . [A] [S] [O] [C]	[A] service [S] ok [O] not exactly five star [C] service general
service is not exactly five star , but thats not really a big deal . [O] [A] [C] [S]	[O] not exactly five star [A] service [C] service general [S] ok
service is not exactly five star , but thats not really a big deal . [O] [A] [S] [C]	[O] not exactly five star [A] service [S] ok [C] service general
downstairs lounge is always a good attraction [A] [O] [S] [C]	[A] downstairs lounge [O] good attraction [S] good [C] ambience general
downstairs lounge is always a good attraction [A] [O] [C] [S]	[A] downstairs lounge [O] good attraction [C] ambience general [S] good
downstairs lounge is always a good attraction [A] [S] [O] [C]	[A] downstairs lounge [S] good [O] good attraction [C] ambience general
downstairs lounge is always a good attraction [O] [A] [C] [S]	[O] good attraction [A] downstairs lounge [C] ambience general [S] good
downstairs lounge is always a good attraction [O] [A] [S] [C]	[O] good attraction [A] downstairs lounge [S] good [C] ambience general
the exotic food is beautifully presented and is a delight in delicious combinations . [A] [O] [S] [C]	[A] exotic food [O] beautifully presented [S] good [C] food style_options [SSEP] [A] exotic food [O] delight [S] good [C] food quality
the exotic food is beautifully presented and is a delight in delicious combinations . [A] [O] [C] [S]	[A] exotic food [O] beautifully presented [C] food style_options [S] good [SSEP] [A] exotic food [O] delight [C] food quality [S] good
the exotic food is beautifully presented and is a delight in delicious combinations . [A] [S] [O] [C]	[A] exotic food [S] good [O] beautifully presented [C] food style_options [SSEP] [A] exotic food [S] good [O] delight [C] food quality
the exotic food is beautifully presented and is a delight in delicious combinations . [O] [A] [C] [S]	[O] beautifully presented [A] exotic food [C] food style_options [S] good [SSEP] [O] delight [A] exotic food [C] food quality [S] good
the exotic food is beautifully presented and is a delight in delicious combinations . [O] [A] [S] [C]	[O] beautifully presented [A] exotic food [S] good [C] food style_options [SSEP] [O] delight [A] exotic food [S] good [C] food quality
it is also extremely well priced . [A] [O] [S] [C]	[A] it [O] extremely well [S] good [C] food prices
it is also extremely well priced . [A] [O] [C] [S]	[A] it [O] extremely well [C] food prices [S] good
it is also extremely well priced . [A] [S] [O] [C]	[A] it [S] good [O] extremely well [C] food prices
it is also extremely well priced . [O] [A] [C] [S]	[O] extremely well [A] it [C] food prices [S] good
it is also extremely well priced . [O] [A] [S] [C]	[O] extremely well [A] it [S] good [C] food prices
the staff is incredibly helpful and attentive . [A] [O] [S] [C]	[A] staff [O] helpful [S] good [C] service general [SSEP] [A] staff [O] attentive [S] good [C] service general
the staff is incredibly helpful and attentive . [A] [O] [C] [S]	[A] staff [O] helpful [C] service general [S] good [SSEP] [A] staff [O] attentive [C] service general [S] good
the staff is incredibly helpful and attentive . [A] [S] [O] [C]	[A] staff [S] good [O] helpful [C] service general [SSEP] [A] staff [S] good [O] attentive [C] service general
the staff is incredibly helpful and attentive . [O] [A] [C] [S]	[O] helpful [A] staff [C] service general [S] good [SSEP] [O] attentive [A] staff [C] service general [S] good
the staff is incredibly helpful and attentive . [O] [A] [S] [C]	[O] helpful [A] staff [S] good [C] service general [SSEP] [O] attentive [A] staff [S] good [C] service general
the bar is very well stocked with interesting beers and well priced wines . [A] [O] [S] [C]	[A] bar [O] well stocked [S] good [C] drinks style_options [SSEP] [A] beers [O] interesting [S] good [C] drinks style_options [SSEP] [A] wines [O] well priced [S] good [C] drinks prices
the bar is very well stocked with interesting beers and well priced wines . [A] [O] [C] [S]	[A] bar [O] well stocked [C] drinks style_options [S] good [SSEP] [A] beers [O] interesting [C] drinks style_options [S] good [SSEP] [A] wines [O] well priced [C] drinks prices [S] good
the bar is very well stocked with interesting beers and well priced wines . [A] [S] [O] [C]	[A] bar [S] good [O] well stocked [C] drinks style_options [SSEP] [A] beers [S] good [O] interesting [C] drinks style_options [SSEP] [A] wines [S] good [O] well priced [C] drinks prices
the bar is very well stocked with interesting beers and well priced wines . [O] [A] [C] [S]	[O] well stocked [A] bar [C] drinks style_options [S] good [SSEP] [O] interesting [A] beers [C] drinks style_options [S] good [SSEP] [O] well priced [A] wines [C] drinks prices [S] good
the bar is very well stocked with interesting beers and well priced wines . [O] [A] [S] [C]	[O] well stocked [A] bar [S] good [C] drinks style_options [SSEP] [O] interesting [A] beers [S] good [C] drinks style_options [SSEP] [O] well priced [A] wines [S] good [C] drinks prices
this is one of my favorite restaurants and it is not to be missed . [A] [O] [S] [C]	[A] it [O] favorite [S] good [C] restaurant general
this is one of my favorite restaurants and it is not to be missed . [A] [O] [C] [S]	[A] it [O] favorite [C] restaurant general [S] good
this is one of my favorite restaurants and it is not to be missed . [A] [S] [O] [C]	[A] it [S] good [O] favorite [C] restaurant general
this is one of my favorite restaurants and it is not to be missed . [O] [A] [C] [S]	[O] favorite [A] it [C] restaurant general [S] good
this is one of my favorite restaurants and it is not to be missed . [O] [A] [S] [C]	[O] favorite [A] it [S] good [C] restaurant general
your friends will thank you for introducing them to this gem ! [A] [O] [S] [C]	[A] it [O] gem [S] good [C] restaurant general
your friends will thank you for introducing them to this gem ! [A] [O] [C] [S]	[A] it [O] gem [C] restaurant general [S] good
your friends will thank you for introducing them to this gem ! [A] [S] [O] [C]	[A] it [S] good [O] gem [C] restaurant general
your friends will thank you for introducing them to this gem ! [O] [A] [C] [S]	[O] gem [A] it [C] restaurant general [S] good
your friends will thank you for introducing them to this gem ! [O] [A] [S] [C]	[O] gem [A] it [S] good [C] restaurant general
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong . [A] [O] [S] [C]	[A] leon [O] null [S] bad [C] restaurant general
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong . [A] [O] [C] [S]	[A] leon [O] null [C] restaurant general [S] bad
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong . [A] [S] [O] [C]	[A] leon [S] bad [O] null [C] restaurant general
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong . [O] [A] [C] [S]	[O] null [A] leon [C] restaurant general [S] bad
when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong . [O] [A] [S] [C]	[O] null [A] leon [S] bad [C] restaurant general
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . [A] [O] [S] [C]	[A] waitress [O] null [S] bad [C] service general
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . [A] [O] [C] [S]	[A] waitress [O] null [C] service general [S] bad
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . [A] [S] [O] [C]	[A] waitress [S] bad [O] null [C] service general
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . [O] [A] [C] [S]	[O] null [A] waitress [C] service general [S] bad
the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . [O] [A] [S] [C]	[O] null [A] waitress [S] bad [C] service general
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] service general
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes . [A] [O] [C] [S]	[A] it [O] null [C] service general [S] bad
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] service general
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes . [O] [A] [C] [S]	[O] null [A] it [C] service general [S] bad
then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] service general
such a disappointment . . . [A] [O] [S] [C]	[A] it [O] disappointment [S] bad [C] service general
such a disappointment . . . [A] [O] [C] [S]	[A] it [O] disappointment [C] service general [S] bad
such a disappointment . . . [A] [S] [O] [C]	[A] it [S] bad [O] disappointment [C] service general
such a disappointment . . . [O] [A] [C] [S]	[O] disappointment [A] it [C] service general [S] bad
such a disappointment . . . [O] [A] [S] [C]	[O] disappointment [A] it [S] bad [C] service general
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one [A] [O] [S] [C]	[A] service [O] rude [S] bad [C] service general [SSEP] [A] food [O] medicore [S] ok [C] food quality [SSEP] [A] it [O] null [S] bad [C] restaurant general
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one [A] [O] [C] [S]	[A] service [O] rude [C] service general [S] bad [SSEP] [A] food [O] medicore [C] food quality [S] ok [SSEP] [A] it [O] null [C] restaurant general [S] bad
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one [A] [S] [O] [C]	[A] service [S] bad [O] rude [C] service general [SSEP] [A] food [S] ok [O] medicore [C] food quality [SSEP] [A] it [S] bad [O] null [C] restaurant general
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one [O] [A] [C] [S]	[O] rude [A] service [C] service general [S] bad [SSEP] [O] medicore [A] food [C] food quality [S] ok [SSEP] [O] null [A] it [C] restaurant general [S] bad
rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one [O] [A] [S] [C]	[O] rude [A] service [S] bad [C] service general [SSEP] [O] medicore [A] food [S] ok [C] food quality [SSEP] [O] null [A] it [S] bad [C] restaurant general
i loved everythig about it - especially the shows and actors . [A] [O] [S] [C]	[A] shows [O] loved [S] good [C] ambience general [SSEP] [A] actors [O] loved [S] good [C] ambience general [SSEP] [A] it [O] loved [S] good [C] restaurant general
i loved everythig about it - especially the shows and actors . [A] [O] [C] [S]	[A] shows [O] loved [C] ambience general [S] good [SSEP] [A] actors [O] loved [C] ambience general [S] good [SSEP] [A] it [O] loved [C] restaurant general [S] good
i loved everythig about it - especially the shows and actors . [A] [S] [O] [C]	[A] shows [S] good [O] loved [C] ambience general [SSEP] [A] actors [S] good [O] loved [C] ambience general [SSEP] [A] it [S] good [O] loved [C] restaurant general
i loved everythig about it - especially the shows and actors . [O] [A] [C] [S]	[O] loved [A] shows [C] ambience general [S] good [SSEP] [O] loved [A] actors [C] ambience general [S] good [SSEP] [O] loved [A] it [C] restaurant general [S] good
i loved everythig about it - especially the shows and actors . [O] [A] [S] [C]	[O] loved [A] shows [S] good [C] ambience general [SSEP] [O] loved [A] actors [S] good [C] ambience general [SSEP] [O] loved [A] it [S] good [C] restaurant general
our server was very helpful and friendly . [A] [O] [S] [C]	[A] server [O] helpful [S] good [C] service general [SSEP] [A] server [O] friendly [S] good [C] service general
our server was very helpful and friendly . [A] [O] [C] [S]	[A] server [O] helpful [C] service general [S] good [SSEP] [A] server [O] friendly [C] service general [S] good
our server was very helpful and friendly . [A] [S] [O] [C]	[A] server [S] good [O] helpful [C] service general [SSEP] [A] server [S] good [O] friendly [C] service general
our server was very helpful and friendly . [O] [A] [C] [S]	[O] helpful [A] server [C] service general [S] good [SSEP] [O] friendly [A] server [C] service general [S] good
our server was very helpful and friendly . [O] [A] [S] [C]	[O] helpful [A] server [S] good [C] service general [SSEP] [O] friendly [A] server [S] good [C] service general
the food was good too . [A] [O] [S] [C]	[A] food [O] good [S] good [C] food quality
the food was good too . [A] [O] [C] [S]	[A] food [O] good [C] food quality [S] good
the food was good too . [A] [S] [O] [C]	[A] food [S] good [O] good [C] food quality
the food was good too . [O] [A] [C] [S]	[O] good [A] food [C] food quality [S] good
the food was good too . [O] [A] [S] [C]	[O] good [A] food [S] good [C] food quality
the tuna and wasabe potatoes are excellent . [A] [O] [S] [C]	[A] tuna [O] excellent [S] good [C] food quality [SSEP] [A] wasabe potatoes [O] excellent [S] good [C] food quality
the tuna and wasabe potatoes are excellent . [A] [O] [C] [S]	[A] tuna [O] excellent [C] food quality [S] good [SSEP] [A] wasabe potatoes [O] excellent [C] food quality [S] good
the tuna and wasabe potatoes are excellent . [A] [S] [O] [C]	[A] tuna [S] good [O] excellent [C] food quality [SSEP] [A] wasabe potatoes [S] good [O] excellent [C] food quality
the tuna and wasabe potatoes are excellent . [O] [A] [C] [S]	[O] excellent [A] tuna [C] food quality [S] good [SSEP] [O] excellent [A] wasabe potatoes [C] food quality [S] good
the tuna and wasabe potatoes are excellent . [O] [A] [S] [C]	[O] excellent [A] tuna [S] good [C] food quality [SSEP] [O] excellent [A] wasabe potatoes [S] good [C] food quality
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . [A] [O] [S] [C]	[A] outdoor atmosphere [O] wonderful [S] good [C] location general
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . [A] [O] [C] [S]	[A] outdoor atmosphere [O] wonderful [C] location general [S] good
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . [A] [S] [O] [C]	[A] outdoor atmosphere [S] good [O] wonderful [C] location general
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . [O] [A] [C] [S]	[O] wonderful [A] outdoor atmosphere [C] location general [S] good
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . [O] [A] [S] [C]	[O] wonderful [A] outdoor atmosphere [S] good [C] location general
inside is a little cramped , but to be expected . [A] [O] [S] [C]	[A] it [O] cramped [S] ok [C] ambience general
inside is a little cramped , but to be expected . [A] [O] [C] [S]	[A] it [O] cramped [C] ambience general [S] ok
inside is a little cramped , but to be expected . [A] [S] [O] [C]	[A] it [S] ok [O] cramped [C] ambience general
inside is a little cramped , but to be expected . [O] [A] [C] [S]	[O] cramped [A] it [C] ambience general [S] ok
inside is a little cramped , but to be expected . [O] [A] [S] [C]	[O] cramped [A] it [S] ok [C] ambience general
service was prompt and courteous . [A] [O] [S] [C]	[A] service [O] prompt [S] good [C] service general [SSEP] [A] service [O] courteous [S] good [C] service general
service was prompt and courteous . [A] [O] [C] [S]	[A] service [O] prompt [C] service general [S] good [SSEP] [A] service [O] courteous [C] service general [S] good
service was prompt and courteous . [A] [S] [O] [C]	[A] service [S] good [O] prompt [C] service general [SSEP] [A] service [S] good [O] courteous [C] service general
service was prompt and courteous . [O] [A] [C] [S]	[O] prompt [A] service [C] service general [S] good [SSEP] [O] courteous [A] service [C] service general [S] good
service was prompt and courteous . [O] [A] [S] [C]	[O] prompt [A] service [S] good [C] service general [SSEP] [O] courteous [A] service [S] good [C] service general
this was a repeat visit and we ' ll definitely be back again . [A] [O] [S] [C]	[A] it [O] null [S] good [C] restaurant general
this was a repeat visit and we ' ll definitely be back again . [A] [O] [C] [S]	[A] it [O] null [C] restaurant general [S] good
this was a repeat visit and we ' ll definitely be back again . [A] [S] [O] [C]	[A] it [S] good [O] null [C] restaurant general
this was a repeat visit and we ' ll definitely be back again . [O] [A] [C] [S]	[O] null [A] it [C] restaurant general [S] good
this was a repeat visit and we ' ll definitely be back again . [O] [A] [S] [C]	[O] null [A] it [S] good [C] restaurant general
great service , great food . [A] [O] [S] [C]	[A] service [O] great [S] good [C] service general [SSEP] [A] food [O] great [S] good [C] food quality
great service , great food . [A] [O] [C] [S]	[A] service [O] great [C] service general [S] good [SSEP] [A] food [O] great [C] food quality [S] good
great service , great food . [A] [S] [O] [C]	[A] service [S] good [O] great [C] service general [SSEP] [A] food [S] good [O] great [C] food quality
great service , great food . [O] [A] [C] [S]	[O] great [A] service [C] service general [S] good [SSEP] [O] great [A] food [C] food quality [S] good
great service , great food . [O] [A] [S] [C]	[O] great [A] service [S] good [C] service general [SSEP] [O] great [A] food [S] good [C] food quality
prices are in line . [A] [O] [S] [C]	[A] it [O] in line [S] ok [C] restaurant prices
prices are in line . [A] [O] [C] [S]	[A] it [O] in line [C] restaurant prices [S] ok
prices are in line . [A] [S] [O] [C]	[A] it [S] ok [O] in line [C] restaurant prices
prices are in line . [O] [A] [C] [S]	[O] in line [A] it [C] restaurant prices [S] ok
prices are in line . [O] [A] [S] [C]	[O] in line [A] it [S] ok [C] restaurant prices
but too far east ! [A] [O] [S] [C]	[A] it [O] far [S] bad [C] location general
but too far east ! [A] [O] [C] [S]	[A] it [O] far [C] location general [S] bad
but too far east ! [A] [S] [O] [C]	[A] it [S] bad [O] far [C] location general
but too far east ! [O] [A] [C] [S]	[O] far [A] it [C] location general [S] bad
but too far east ! [O] [A] [S] [C]	[O] far [A] it [S] bad [C] location general
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s . [A] [O] [S] [C]	[A] pizza [O] delicious [S] good [C] food quality [SSEP] [A] mozzarella [O] fresh [S] good [C] food quality
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s . [A] [O] [C] [S]	[A] pizza [O] delicious [C] food quality [S] good [SSEP] [A] mozzarella [O] fresh [C] food quality [S] good
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s . [A] [S] [O] [C]	[A] pizza [S] good [O] delicious [C] food quality [SSEP] [A] mozzarella [S] good [O] fresh [C] food quality
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s . [O] [A] [C] [S]	[O] delicious [A] pizza [C] food quality [S] good [SSEP] [O] fresh [A] mozzarella [C] food quality [S] good
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s . [O] [A] [S] [C]	[O] delicious [A] pizza [S] good [C] food quality [SSEP] [O] fresh [A] mozzarella [S] good [C] food quality
