judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes . [O] [A] [S]	[O] diamond [A] food [S] good [SSEP] [O] perfect [A] balance of herbs and tomatoes [S] good
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes . [O] [S] [A]	[O] diamond [S] good [A] food [SSEP] [O] perfect [S] good [A] balance of herbs and tomatoes
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes . [A] [S] [O]	[A] food [S] good [O] diamond [SSEP] [A] balance of herbs and tomatoes [S] good [O] perfect
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes . [S] [O] [A]	[S] good [O] diamond [A] food [SSEP] [S] good [O] perfect [A] balance of herbs and tomatoes
we had a great time at the jekyll and hyde pub last night . [A] [O] [S]	[A] jekyll and hyde pub [O] great time [S] good
we had a great time at the jekyll and hyde pub last night . [O] [A] [S]	[O] great time [A] jekyll and hyde pub [S] good
we had a great time at the jekyll and hyde pub last night . [O] [S] [A]	[O] great time [S] good [A] jekyll and hyde pub
we had a great time at the jekyll and hyde pub last night . [A] [S] [O]	[A] jekyll and hyde pub [S] good [O] great time
we had a great time at the jekyll and hyde pub last night . [S] [O] [A]	[S] good [O] great time [A] jekyll and hyde pub
after really enjoying ourselves at the bar we sat down at a table and had dinner . [A] [O] [S]	[A] bar [O] enjoying [S] good
after really enjoying ourselves at the bar we sat down at a table and had dinner . [O] [A] [S]	[O] enjoying [A] bar [S] good
after really enjoying ourselves at the bar we sat down at a table and had dinner . [O] [S] [A]	[O] enjoying [S] good [A] bar
after really enjoying ourselves at the bar we sat down at a table and had dinner . [A] [S] [O]	[A] bar [S] good [O] enjoying
after really enjoying ourselves at the bar we sat down at a table and had dinner . [S] [O] [A]	[S] good [O] enjoying [A] bar
the server was really cool and served us our food and drinks with a smile . [A] [O] [S]	[A] server [O] cool [S] good
the server was really cool and served us our food and drinks with a smile . [O] [A] [S]	[O] cool [A] server [S] good
the server was really cool and served us our food and drinks with a smile . [O] [S] [A]	[O] cool [S] good [A] server
the server was really cool and served us our food and drinks with a smile . [A] [S] [O]	[A] server [S] good [O] cool
the server was really cool and served us our food and drinks with a smile . [S] [O] [A]	[S] good [O] cool [A] server
the place 's decor and hidden bathrooms made for a good laugh . [A] [O] [S]	[A] decor [O] good laugh [S] good [SSEP] [A] hidden bathrooms [O] good laugh [S] good
the place 's decor and hidden bathrooms made for a good laugh . [O] [A] [S]	[O] good laugh [A] decor [S] good [SSEP] [O] good laugh [A] hidden bathrooms [S] good
the place 's decor and hidden bathrooms made for a good laugh . [O] [S] [A]	[O] good laugh [S] good [A] decor [SSEP] [O] good laugh [S] good [A] hidden bathrooms
the place 's decor and hidden bathrooms made for a good laugh . [A] [S] [O]	[A] decor [S] good [O] good laugh [SSEP] [A] hidden bathrooms [S] good [O] good laugh
the place 's decor and hidden bathrooms made for a good laugh . [S] [O] [A]	[S] good [O] good laugh [A] decor [SSEP] [S] good [O] good laugh [A] hidden bathrooms
i highly recommend visiting this restaurant and having dinner and drinks ! [A] [O] [S]	[A] restaurant [O] recommend [S] good
i highly recommend visiting this restaurant and having dinner and drinks ! [O] [A] [S]	[O] recommend [A] restaurant [S] good
i highly recommend visiting this restaurant and having dinner and drinks ! [O] [S] [A]	[O] recommend [S] good [A] restaurant
i highly recommend visiting this restaurant and having dinner and drinks ! [A] [S] [O]	[A] restaurant [S] good [O] recommend
i highly recommend visiting this restaurant and having dinner and drinks ! [S] [O] [A]	[S] good [O] recommend [A] restaurant
if you are the type of person who likes being scared and entertained , this is a great place to go and eat . [A] [O] [S]	[A] place [O] great [S] good
if you are the type of person who likes being scared and entertained , this is a great place to go and eat . [O] [A] [S]	[O] great [A] place [S] good
if you are the type of person who likes being scared and entertained , this is a great place to go and eat . [O] [S] [A]	[O] great [S] good [A] place
if you are the type of person who likes being scared and entertained , this is a great place to go and eat . [A] [S] [O]	[A] place [S] good [O] great
if you are the type of person who likes being scared and entertained , this is a great place to go and eat . [S] [O] [A]	[S] good [O] great [A] place
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini . [A] [O] [S]	[A] beers [O] happy [S] good [SSEP] [A] food [O] delicious [S] good [SSEP] [A] pumkin tortelini [O] recommend [S] good
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini . [O] [A] [S]	[O] happy [A] beers [S] good [SSEP] [O] delicious [A] food [S] good [SSEP] [O] recommend [A] pumkin tortelini [S] good
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini . [O] [S] [A]	[O] happy [S] good [A] beers [SSEP] [O] delicious [S] good [A] food [SSEP] [O] recommend [S] good [A] pumkin tortelini
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini . [A] [S] [O]	[A] beers [S] good [O] happy [SSEP] [A] food [S] good [O] delicious [SSEP] [A] pumkin tortelini [S] good [O] recommend
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini . [S] [O] [A]	[S] good [O] happy [A] beers [SSEP] [S] good [O] delicious [A] food [SSEP] [S] good [O] recommend [A] pumkin tortelini
the entertainment was great they have shows that go on through out the dinner . [A] [O] [S]	[A] entertainment [O] great [S] good
the entertainment was great they have shows that go on through out the dinner . [O] [A] [S]	[O] great [A] entertainment [S] good
the entertainment was great they have shows that go on through out the dinner . [O] [S] [A]	[O] great [S] good [A] entertainment
the entertainment was great they have shows that go on through out the dinner . [A] [S] [O]	[A] entertainment [S] good [O] great
the entertainment was great they have shows that go on through out the dinner . [S] [O] [A]	[S] good [O] great [A] entertainment
the bagel was huge . [A] [O] [S]	[A] bagel [O] huge [S] good
the bagel was huge . [O] [A] [S]	[O] huge [A] bagel [S] good
the bagel was huge . [O] [S] [A]	[O] huge [S] good [A] bagel
the bagel was huge . [A] [S] [O]	[A] bagel [S] good [O] huge
the bagel was huge . [S] [O] [A]	[S] good [O] huge [A] bagel
this was my frist time at cafe st. bart 's and i must say how delicious the food and the service was . [A] [O] [S]	[A] food [O] delicious [S] good
this was my frist time at cafe st. bart 's and i must say how delicious the food and the service was . [O] [A] [S]	[O] delicious [A] food [S] good
this was my frist time at cafe st. bart 's and i must say how delicious the food and the service was . [O] [S] [A]	[O] delicious [S] good [A] food
this was my frist time at cafe st. bart 's and i must say how delicious the food and the service was . [A] [S] [O]	[A] food [S] good [O] delicious
this was my frist time at cafe st. bart 's and i must say how delicious the food and the service was . [S] [O] [A]	[S] good [O] delicious [A] food
other guests enjoyed pizza , santa fe chopped salad and fish and chips . [A] [O] [S]	[A] pizza [O] enjoyed [S] good [SSEP] [A] santa fe chopped salad [O] enjoyed [S] good [SSEP] [A] fish and chips [O] enjoyed [S] good
other guests enjoyed pizza , santa fe chopped salad and fish and chips . [O] [A] [S]	[O] enjoyed [A] pizza [S] good [SSEP] [O] enjoyed [A] santa fe chopped salad [S] good [SSEP] [O] enjoyed [A] fish and chips [S] good
other guests enjoyed pizza , santa fe chopped salad and fish and chips . [O] [S] [A]	[O] enjoyed [S] good [A] pizza [SSEP] [O] enjoyed [S] good [A] santa fe chopped salad [SSEP] [O] enjoyed [S] good [A] fish and chips
other guests enjoyed pizza , santa fe chopped salad and fish and chips . [A] [S] [O]	[A] pizza [S] good [O] enjoyed [SSEP] [A] santa fe chopped salad [S] good [O] enjoyed [SSEP] [A] fish and chips [S] good [O] enjoyed
other guests enjoyed pizza , santa fe chopped salad and fish and chips . [S] [O] [A]	[S] good [O] enjoyed [A] pizza [SSEP] [S] good [O] enjoyed [A] santa fe chopped salad [SSEP] [S] good [O] enjoyed [A] fish and chips
i highly recommend cafe st. bart 's for their food , the ambience and wonderful service . [A] [O] [S]	[A] food [O] recommend [S] good [SSEP] [A] ambience [O] recommend [S] good [SSEP] [A] service [O] recommend [S] good [SSEP] [A] service [O] wonderful [S] good
i highly recommend cafe st. bart 's for their food , the ambience and wonderful service . [O] [A] [S]	[O] recommend [A] food [S] good [SSEP] [O] recommend [A] ambience [S] good [SSEP] [O] recommend [A] service [S] good [SSEP] [O] wonderful [A] service [S] good
i highly recommend cafe st. bart 's for their food , the ambience and wonderful service . [O] [S] [A]	[O] recommend [S] good [A] food [SSEP] [O] recommend [S] good [A] ambience [SSEP] [O] recommend [S] good [A] service [SSEP] [O] wonderful [S] good [A] service
i highly recommend cafe st. bart 's for their food , the ambience and wonderful service . [A] [S] [O]	[A] food [S] good [O] recommend [SSEP] [A] ambience [S] good [O] recommend [SSEP] [A] service [S] good [O] recommend [SSEP] [A] service [S] good [O] wonderful
i highly recommend cafe st. bart 's for their food , the ambience and wonderful service . [S] [O] [A]	[S] good [O] recommend [A] food [SSEP] [S] good [O] recommend [A] ambience [SSEP] [S] good [O] recommend [A] service [SSEP] [S] good [O] wonderful [A] service
all the staff is absolutely professional ! ! [A] [O] [S]	[A] staff [O] professional [S] good
all the staff is absolutely professional ! ! [O] [A] [S]	[O] professional [A] staff [S] good
all the staff is absolutely professional ! ! [O] [S] [A]	[O] professional [S] good [A] staff
all the staff is absolutely professional ! ! [A] [S] [O]	[A] staff [S] good [O] professional
all the staff is absolutely professional ! ! [S] [O] [A]	[S] good [O] professional [A] staff
this restaurant was way overhyped . [A] [O] [S]	[A] restaurant [O] overhyped [S] bad
this restaurant was way overhyped . [O] [A] [S]	[O] overhyped [A] restaurant [S] bad
this restaurant was way overhyped . [O] [S] [A]	[O] overhyped [S] bad [A] restaurant
this restaurant was way overhyped . [A] [S] [O]	[A] restaurant [S] bad [O] overhyped
this restaurant was way overhyped . [S] [O] [A]	[S] bad [O] overhyped [A] restaurant
my chow fun and chow see was really bland and oily . [A] [O] [S]	[A] chow fun and chow see [O] bland [S] bad [SSEP] [A] chow fun and chow see [O] oily [S] bad
my chow fun and chow see was really bland and oily . [O] [A] [S]	[O] bland [A] chow fun and chow see [S] bad [SSEP] [O] oily [A] chow fun and chow see [S] bad
my chow fun and chow see was really bland and oily . [O] [S] [A]	[O] bland [S] bad [A] chow fun and chow see [SSEP] [O] oily [S] bad [A] chow fun and chow see
my chow fun and chow see was really bland and oily . [A] [S] [O]	[A] chow fun and chow see [S] bad [O] bland [SSEP] [A] chow fun and chow see [S] bad [O] oily
my chow fun and chow see was really bland and oily . [S] [O] [A]	[S] bad [O] bland [A] chow fun and chow see [SSEP] [S] bad [O] oily [A] chow fun and chow see
the service was the only thing good about this restaurant . [A] [O] [S]	[A] service [O] good [S] good
the service was the only thing good about this restaurant . [O] [A] [S]	[O] good [A] service [S] good
the service was the only thing good about this restaurant . [O] [S] [A]	[O] good [S] good [A] service
the service was the only thing good about this restaurant . [A] [S] [O]	[A] service [S] good [O] good
the service was the only thing good about this restaurant . [S] [O] [A]	[S] good [O] good [A] service
it 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . [A] [O] [S]	[A] sushi [O] below average [S] bad [SSEP] [A] tuna [O] soggy [S] bad [SSEP] [A] rolls [O] no flavor [S] bad
it 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . [O] [A] [S]	[O] below average [A] sushi [S] bad [SSEP] [O] soggy [A] tuna [S] bad [SSEP] [O] no flavor [A] rolls [S] bad
it 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . [O] [S] [A]	[O] below average [S] bad [A] sushi [SSEP] [O] soggy [S] bad [A] tuna [SSEP] [O] no flavor [S] bad [A] rolls
it 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . [A] [S] [O]	[A] sushi [S] bad [O] below average [SSEP] [A] tuna [S] bad [O] soggy [SSEP] [A] rolls [S] bad [O] no flavor
it 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor . [S] [O] [A]	[S] bad [O] below average [A] sushi [SSEP] [S] bad [O] soggy [A] tuna [SSEP] [S] bad [O] no flavor [A] rolls
their pad penang is delicious and everything else is fantastic . [A] [O] [S]	[A] pad penang [O] delicious [S] good
their pad penang is delicious and everything else is fantastic . [O] [A] [S]	[O] delicious [A] pad penang [S] good
their pad penang is delicious and everything else is fantastic . [O] [S] [A]	[O] delicious [S] good [A] pad penang
their pad penang is delicious and everything else is fantastic . [A] [S] [O]	[A] pad penang [S] good [O] delicious
their pad penang is delicious and everything else is fantastic . [S] [O] [A]	[S] good [O] delicious [A] pad penang
the price is reasonable although the service is poor . [A] [O] [S]	[A] service [O] poor [S] bad
the price is reasonable although the service is poor . [O] [A] [S]	[O] poor [A] service [S] bad
the price is reasonable although the service is poor . [O] [S] [A]	[O] poor [S] bad [A] service
the price is reasonable although the service is poor . [A] [S] [O]	[A] service [S] bad [O] poor
the price is reasonable although the service is poor . [S] [O] [A]	[S] bad [O] poor [A] service
fresh restaurant was amazing ... ... .. food was delicious and of course fresh . [A] [O] [S]	[A] fresh restaurant [O] fresh [S] good [SSEP] [A] fresh restaurant [O] amazing [S] good [SSEP] [A] food [O] delicious [S] good [SSEP] [A] food [O] fresh [S] good
fresh restaurant was amazing ... ... .. food was delicious and of course fresh . [O] [A] [S]	[O] fresh [A] fresh restaurant [S] good [SSEP] [O] amazing [A] fresh restaurant [S] good [SSEP] [O] delicious [A] food [S] good [SSEP] [O] fresh [A] food [S] good
fresh restaurant was amazing ... ... .. food was delicious and of course fresh . [O] [S] [A]	[O] fresh [S] good [A] fresh restaurant [SSEP] [O] amazing [S] good [A] fresh restaurant [SSEP] [O] delicious [S] good [A] food [SSEP] [O] fresh [S] good [A] food
fresh restaurant was amazing ... ... .. food was delicious and of course fresh . [A] [S] [O]	[A] fresh restaurant [S] good [O] fresh [SSEP] [A] fresh restaurant [S] good [O] amazing [SSEP] [A] food [S] good [O] delicious [SSEP] [A] food [S] good [O] fresh
fresh restaurant was amazing ... ... .. food was delicious and of course fresh . [S] [O] [A]	[S] good [O] fresh [A] fresh restaurant [SSEP] [S] good [O] amazing [A] fresh restaurant [SSEP] [S] good [O] delicious [A] food [SSEP] [S] good [O] fresh [A] food
hats off to the chef . [A] [O] [S]	[A] chef [O] hats off [S] good
hats off to the chef . [O] [A] [S]	[O] hats off [A] chef [S] good
hats off to the chef . [O] [S] [A]	[O] hats off [S] good [A] chef
hats off to the chef . [A] [S] [O]	[A] chef [S] good [O] hats off
hats off to the chef . [S] [O] [A]	[S] good [O] hats off [A] chef
the salads are delicious , both refreshing and very spicy . [A] [O] [S]	[A] salads [O] delicious [S] good [SSEP] [A] salads [O] refreshing [S] good [SSEP] [A] salads [O] spicy [S] good
the salads are delicious , both refreshing and very spicy . [O] [A] [S]	[O] delicious [A] salads [S] good [SSEP] [O] refreshing [A] salads [S] good [SSEP] [O] spicy [A] salads [S] good
the salads are delicious , both refreshing and very spicy . [O] [S] [A]	[O] delicious [S] good [A] salads [SSEP] [O] refreshing [S] good [A] salads [SSEP] [O] spicy [S] good [A] salads
the salads are delicious , both refreshing and very spicy . [A] [S] [O]	[A] salads [S] good [O] delicious [SSEP] [A] salads [S] good [O] refreshing [SSEP] [A] salads [S] good [O] spicy
the salads are delicious , both refreshing and very spicy . [S] [O] [A]	[S] good [O] delicious [A] salads [SSEP] [S] good [O] refreshing [A] salads [SSEP] [S] good [O] spicy [A] salads
we had pam 's special fried fish and it was amazing . [A] [O] [S]	[A] pam 's special fried fish [O] amazing [S] good
we had pam 's special fried fish and it was amazing . [O] [A] [S]	[O] amazing [A] pam 's special fried fish [S] good
we had pam 's special fried fish and it was amazing . [O] [S] [A]	[O] amazing [S] good [A] pam 's special fried fish
we had pam 's special fried fish and it was amazing . [A] [S] [O]	[A] pam 's special fried fish [S] good [O] amazing
we had pam 's special fried fish and it was amazing . [S] [O] [A]	[S] good [O] amazing [A] pam 's special fried fish
great vibe , lots of people . [A] [O] [S]	[A] vibe [O] great [S] good
great vibe , lots of people . [O] [A] [S]	[O] great [A] vibe [S] good
great vibe , lots of people . [O] [S] [A]	[O] great [S] good [A] vibe
great vibe , lots of people . [A] [S] [O]	[A] vibe [S] good [O] great
great vibe , lots of people . [S] [O] [A]	[S] good [O] great [A] vibe
i did n't complain , i liked the atmosphere so much . [A] [O] [S]	[A] atmosphere [O] liked [S] good
i did n't complain , i liked the atmosphere so much . [O] [A] [S]	[O] liked [A] atmosphere [S] good
i did n't complain , i liked the atmosphere so much . [O] [S] [A]	[O] liked [S] good [A] atmosphere
i did n't complain , i liked the atmosphere so much . [A] [S] [O]	[A] atmosphere [S] good [O] liked
i did n't complain , i liked the atmosphere so much . [S] [O] [A]	[S] good [O] liked [A] atmosphere
ambience is so cute and quaint , good for business although we were there on vacation . [A] [O] [S]	[A] ambience [O] cute [S] good [SSEP] [A] ambience [O] quaint [S] good [SSEP] [A] ambience [O] good [S] good
ambience is so cute and quaint , good for business although we were there on vacation . [O] [A] [S]	[O] cute [A] ambience [S] good [SSEP] [O] quaint [A] ambience [S] good [SSEP] [O] good [A] ambience [S] good
ambience is so cute and quaint , good for business although we were there on vacation . [O] [S] [A]	[O] cute [S] good [A] ambience [SSEP] [O] quaint [S] good [A] ambience [SSEP] [O] good [S] good [A] ambience
ambience is so cute and quaint , good for business although we were there on vacation . [A] [S] [O]	[A] ambience [S] good [O] cute [SSEP] [A] ambience [S] good [O] quaint [SSEP] [A] ambience [S] good [O] good
ambience is so cute and quaint , good for business although we were there on vacation . [S] [O] [A]	[S] good [O] cute [A] ambience [SSEP] [S] good [O] quaint [A] ambience [SSEP] [S] good [O] good [A] ambience
although we were looking for regular lettuce and some walnuts the salads we got were great . [A] [O] [S]	[A] salads [O] great [S] good
although we were looking for regular lettuce and some walnuts the salads we got were great . [O] [A] [S]	[O] great [A] salads [S] good
although we were looking for regular lettuce and some walnuts the salads we got were great . [O] [S] [A]	[O] great [S] good [A] salads
although we were looking for regular lettuce and some walnuts the salads we got were great . [A] [S] [O]	[A] salads [S] good [O] great
although we were looking for regular lettuce and some walnuts the salads we got were great . [S] [O] [A]	[S] good [O] great [A] salads
ingredients are organic which is a real plus for me . [A] [O] [S]	[A] ingredients [O] organic [S] good [SSEP] [A] ingredients [O] plus [S] good
ingredients are organic which is a real plus for me . [O] [A] [S]	[O] organic [A] ingredients [S] good [SSEP] [O] plus [A] ingredients [S] good
ingredients are organic which is a real plus for me . [O] [S] [A]	[O] organic [S] good [A] ingredients [SSEP] [O] plus [S] good [A] ingredients
ingredients are organic which is a real plus for me . [A] [S] [O]	[A] ingredients [S] good [O] organic [SSEP] [A] ingredients [S] good [O] plus
ingredients are organic which is a real plus for me . [S] [O] [A]	[S] good [O] organic [A] ingredients [SSEP] [S] good [O] plus [A] ingredients
this is some really good , inexpensive sushi . [A] [O] [S]	[A] sushi [O] good [S] good [SSEP] [A] sushi [O] inexpensive [S] good
this is some really good , inexpensive sushi . [O] [A] [S]	[O] good [A] sushi [S] good [SSEP] [O] inexpensive [A] sushi [S] good
this is some really good , inexpensive sushi . [O] [S] [A]	[O] good [S] good [A] sushi [SSEP] [O] inexpensive [S] good [A] sushi
this is some really good , inexpensive sushi . [A] [S] [O]	[A] sushi [S] good [O] good [SSEP] [A] sushi [S] good [O] inexpensive
this is some really good , inexpensive sushi . [S] [O] [A]	[S] good [O] good [A] sushi [SSEP] [S] good [O] inexpensive [A] sushi
the spicy tuna roll is huge and probably the best that i 've had at this price range . [A] [O] [S]	[A] spicy tuna roll [O] huge [S] good [SSEP] [A] spicy tuna roll [O] best [S] good
the spicy tuna roll is huge and probably the best that i 've had at this price range . [O] [A] [S]	[O] huge [A] spicy tuna roll [S] good [SSEP] [O] best [A] spicy tuna roll [S] good
the spicy tuna roll is huge and probably the best that i 've had at this price range . [O] [S] [A]	[O] huge [S] good [A] spicy tuna roll [SSEP] [O] best [S] good [A] spicy tuna roll
the spicy tuna roll is huge and probably the best that i 've had at this price range . [A] [S] [O]	[A] spicy tuna roll [S] good [O] huge [SSEP] [A] spicy tuna roll [S] good [O] best
the spicy tuna roll is huge and probably the best that i 've had at this price range . [S] [O] [A]	[S] good [O] huge [A] spicy tuna roll [SSEP] [S] good [O] best [A] spicy tuna roll
the yellowtail was particularly good as well . [A] [O] [S]	[A] yellowtail [O] good [S] good
the yellowtail was particularly good as well . [O] [A] [S]	[O] good [A] yellowtail [S] good
the yellowtail was particularly good as well . [O] [S] [A]	[O] good [S] good [A] yellowtail
the yellowtail was particularly good as well . [A] [S] [O]	[A] yellowtail [S] good [O] good
the yellowtail was particularly good as well . [S] [O] [A]	[S] good [O] good [A] yellowtail
i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . [A] [O] [S]	[A] all you can eat deal [O] limited [S] bad
i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . [O] [A] [S]	[O] limited [A] all you can eat deal [S] bad
i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . [O] [S] [A]	[O] limited [S] bad [A] all you can eat deal
i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . [A] [S] [O]	[A] all you can eat deal [S] bad [O] limited
i have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu . [S] [O] [A]	[S] bad [O] limited [A] all you can eat deal
big wong gets big ups for a fine establishment . [A] [O] [S]	[A] big wong [O] big ups [S] good [SSEP] [A] big wong [O] fine [S] good
big wong gets big ups for a fine establishment . [O] [A] [S]	[O] big ups [A] big wong [S] good [SSEP] [O] fine [A] big wong [S] good
big wong gets big ups for a fine establishment . [O] [S] [A]	[O] big ups [S] good [A] big wong [SSEP] [O] fine [S] good [A] big wong
big wong gets big ups for a fine establishment . [A] [S] [O]	[A] big wong [S] good [O] big ups [SSEP] [A] big wong [S] good [O] fine
big wong gets big ups for a fine establishment . [S] [O] [A]	[S] good [O] big ups [A] big wong [SSEP] [S] good [O] fine [A] big wong
they have it all -- great price , food , and service . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] service [O] great [S] good
they have it all -- great price , food , and service . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] great [A] service [S] good
they have it all -- great price , food , and service . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] great [S] good [A] service
they have it all -- great price , food , and service . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] service [S] good [O] great
they have it all -- great price , food , and service . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] great [A] service
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . [A] [O] [S]	[A] atmosphere [O] noisy [S] bad [SSEP] [A] waiters [O] fast [S] good
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . [O] [A] [S]	[O] noisy [A] atmosphere [S] bad [SSEP] [O] fast [A] waiters [S] good
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . [O] [S] [A]	[O] noisy [S] bad [A] atmosphere [SSEP] [O] fast [S] good [A] waiters
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . [A] [S] [O]	[A] atmosphere [S] bad [O] noisy [SSEP] [A] waiters [S] good [O] fast
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can . [S] [O] [A]	[S] bad [O] noisy [A] atmosphere [SSEP] [S] good [O] fast [A] waiters
this place is always very crowded and popular . [A] [O] [S]	[A] place [O] crowded [S] good [SSEP] [A] place [O] popular [S] good
this place is always very crowded and popular . [O] [A] [S]	[O] crowded [A] place [S] good [SSEP] [O] popular [A] place [S] good
this place is always very crowded and popular . [O] [S] [A]	[O] crowded [S] good [A] place [SSEP] [O] popular [S] good [A] place
this place is always very crowded and popular . [A] [S] [O]	[A] place [S] good [O] crowded [SSEP] [A] place [S] good [O] popular
this place is always very crowded and popular . [S] [O] [A]	[S] good [O] crowded [A] place [SSEP] [S] good [O] popular [A] place
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ... .both very tasty . [A] [O] [S]	[A] caesar salad [O] enjoyed [S] good [SSEP] [A] caesar salad [O] nice [S] good [SSEP] [A] arugula and goat cheese [O] tasty [S] good
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ... .both very tasty . [O] [A] [S]	[O] enjoyed [A] caesar salad [S] good [SSEP] [O] nice [A] caesar salad [S] good [SSEP] [O] tasty [A] arugula and goat cheese [S] good
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ... .both very tasty . [O] [S] [A]	[O] enjoyed [S] good [A] caesar salad [SSEP] [O] nice [S] good [A] caesar salad [SSEP] [O] tasty [S] good [A] arugula and goat cheese
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ... .both very tasty . [A] [S] [O]	[A] caesar salad [S] good [O] enjoyed [SSEP] [A] caesar salad [S] good [O] nice [SSEP] [A] arugula and goat cheese [S] good [O] tasty
enjoyed a very nice caesar salad while my wife had arugula and goat cheese ... .both very tasty . [S] [O] [A]	[S] good [O] enjoyed [A] caesar salad [SSEP] [S] good [O] nice [A] caesar salad [SSEP] [S] good [O] tasty [A] arugula and goat cheese
we both opted for a pasta dish and they were served timely and fresh . [A] [O] [S]	[A] pasta dish [O] served timely [S] good [SSEP] [A] pasta dish [O] fresh [S] good
we both opted for a pasta dish and they were served timely and fresh . [O] [A] [S]	[O] served timely [A] pasta dish [S] good [SSEP] [O] fresh [A] pasta dish [S] good
we both opted for a pasta dish and they were served timely and fresh . [O] [S] [A]	[O] served timely [S] good [A] pasta dish [SSEP] [O] fresh [S] good [A] pasta dish
we both opted for a pasta dish and they were served timely and fresh . [A] [S] [O]	[A] pasta dish [S] good [O] served timely [SSEP] [A] pasta dish [S] good [O] fresh
we both opted for a pasta dish and they were served timely and fresh . [S] [O] [A]	[S] good [O] served timely [A] pasta dish [SSEP] [S] good [O] fresh [A] pasta dish
we concluded with tiramisu chocolate cake , both were delicious . [A] [O] [S]	[A] tiramisu chocolate cake [O] delicious [S] good
we concluded with tiramisu chocolate cake , both were delicious . [O] [A] [S]	[O] delicious [A] tiramisu chocolate cake [S] good
we concluded with tiramisu chocolate cake , both were delicious . [O] [S] [A]	[O] delicious [S] good [A] tiramisu chocolate cake
we concluded with tiramisu chocolate cake , both were delicious . [A] [S] [O]	[A] tiramisu chocolate cake [S] good [O] delicious
we concluded with tiramisu chocolate cake , both were delicious . [S] [O] [A]	[S] good [O] delicious [A] tiramisu chocolate cake
i recently went to this restaurant with some co-workers for lunch and had an amazing time . [A] [O] [S]	[A] restaurant [O] amazing time [S] good
i recently went to this restaurant with some co-workers for lunch and had an amazing time . [O] [A] [S]	[O] amazing time [A] restaurant [S] good
i recently went to this restaurant with some co-workers for lunch and had an amazing time . [O] [S] [A]	[O] amazing time [S] good [A] restaurant
i recently went to this restaurant with some co-workers for lunch and had an amazing time . [A] [S] [O]	[A] restaurant [S] good [O] amazing time
i recently went to this restaurant with some co-workers for lunch and had an amazing time . [S] [O] [A]	[S] good [O] amazing time [A] restaurant
sometimes i get good food and ok service . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] service [O] ok [S] ok
sometimes i get good food and ok service . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] ok [A] service [S] ok
sometimes i get good food and ok service . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] ok [S] ok [A] service
sometimes i get good food and ok service . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] service [S] ok [O] ok
sometimes i get good food and ok service . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] ok [O] ok [A] service
