but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic . [O] [S] [A]	[O] authentic [S] bad [A] thai food
for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic . [A] [O] [S]	[A] thai food [O] authentic [S] bad
for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic . [A] [S] [O]	[A] thai food [S] bad [O] authentic
for many people , this may not seem like aunthentic thai food because most places in nyc arent quite authentic . [S] [O] [A]	[S] bad [O] authentic [A] thai food
oh , do n't even let me start with how expensive the bills were ! [O] [A] [S]	[O] expensive [A] bills [S] bad
oh , do n't even let me start with how expensive the bills were ! [O] [S] [A]	[O] expensive [S] bad [A] bills
oh , do n't even let me start with how expensive the bills were ! [A] [O] [S]	[A] bills [O] expensive [S] bad
oh , do n't even let me start with how expensive the bills were ! [A] [S] [O]	[A] bills [S] bad [O] expensive
oh , do n't even let me start with how expensive the bills were ! [S] [O] [A]	[S] bad [O] expensive [A] bills
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! ! [O] [A] [S]	[O] fabulous [A] appetizers [S] good [SSEP] [O] fabulous [A] salads [S] good [SSEP] [O] watering [A] steak [S] good [SSEP] [O] delicious [A] pasta [S] good
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! ! [O] [S] [A]	[O] fabulous [S] good [A] appetizers [SSEP] [O] fabulous [S] good [A] salads [SSEP] [O] watering [S] good [A] steak [SSEP] [O] delicious [S] good [A] pasta
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! ! [A] [O] [S]	[A] appetizers [O] fabulous [S] good [SSEP] [A] salads [O] fabulous [S] good [SSEP] [A] steak [O] watering [S] good [SSEP] [A] pasta [O] delicious [S] good
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! ! [A] [S] [O]	[A] appetizers [S] good [O] fabulous [SSEP] [A] salads [S] good [O] fabulous [SSEP] [A] steak [S] good [O] watering [SSEP] [A] pasta [S] good [O] delicious
all the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious ! ! ! [S] [O] [A]	[S] good [O] fabulous [A] appetizers [SSEP] [S] good [O] fabulous [A] salads [SSEP] [S] good [O] watering [A] steak [SSEP] [S] good [O] delicious [A] pasta
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill . [O] [A] [S]	[O] undercooked [A] dishes [S] bad
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill . [O] [S] [A]	[O] undercooked [S] bad [A] dishes
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill . [A] [O] [S]	[A] dishes [O] undercooked [S] bad
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill . [A] [S] [O]	[A] dishes [S] bad [O] undercooked
besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill . [S] [O] [A]	[S] bad [O] undercooked [A] dishes
service is top notch . [O] [A] [S]	[O] top notch [A] service [S] good
service is top notch . [O] [S] [A]	[O] top notch [S] good [A] service
service is top notch . [A] [O] [S]	[A] service [O] top notch [S] good
service is top notch . [A] [S] [O]	[A] service [S] good [O] top notch
service is top notch . [S] [O] [A]	[S] good [O] top notch [A] service
the food now is inconsistent . [O] [A] [S]	[O] inconsistent [A] food [S] bad
the food now is inconsistent . [O] [S] [A]	[O] inconsistent [S] bad [A] food
the food now is inconsistent . [A] [O] [S]	[A] food [O] inconsistent [S] bad
the food now is inconsistent . [A] [S] [O]	[A] food [S] bad [O] inconsistent
the food now is inconsistent . [S] [O] [A]	[S] bad [O] inconsistent [A] food
be careful before you request extra spice . [O] [A] [S]	[O] careful [A] spice [S] ok
be careful before you request extra spice . [O] [S] [A]	[O] careful [S] ok [A] spice
be careful before you request extra spice . [A] [O] [S]	[A] spice [O] careful [S] ok
be careful before you request extra spice . [A] [S] [O]	[A] spice [S] ok [O] careful
be careful before you request extra spice . [S] [O] [A]	[S] ok [O] careful [A] spice
the octopus eaters were floored by the octopus salad . [O] [A] [S]	[O] floored [A] octopus salad [S] good
the octopus eaters were floored by the octopus salad . [O] [S] [A]	[O] floored [S] good [A] octopus salad
the octopus eaters were floored by the octopus salad . [A] [O] [S]	[A] octopus salad [O] floored [S] good
the octopus eaters were floored by the octopus salad . [A] [S] [O]	[A] octopus salad [S] good [O] floored
the octopus eaters were floored by the octopus salad . [S] [O] [A]	[S] good [O] floored [A] octopus salad
we thought that this place is using too much of msg cooking in the foods . [O] [A] [S]	[O] too much [A] msg cooking [S] bad
we thought that this place is using too much of msg cooking in the foods . [O] [S] [A]	[O] too much [S] bad [A] msg cooking
we thought that this place is using too much of msg cooking in the foods . [A] [O] [S]	[A] msg cooking [O] too much [S] bad
we thought that this place is using too much of msg cooking in the foods . [A] [S] [O]	[A] msg cooking [S] bad [O] too much
we thought that this place is using too much of msg cooking in the foods . [S] [O] [A]	[S] bad [O] too much [A] msg cooking
and the tom kha soup was pathetic . [O] [A] [S]	[O] pathetic [A] tom kha soup [S] bad
and the tom kha soup was pathetic . [O] [S] [A]	[O] pathetic [S] bad [A] tom kha soup
and the tom kha soup was pathetic . [A] [O] [S]	[A] tom kha soup [O] pathetic [S] bad
and the tom kha soup was pathetic . [A] [S] [O]	[A] tom kha soup [S] bad [O] pathetic
and the tom kha soup was pathetic . [S] [O] [A]	[S] bad [O] pathetic [A] tom kha soup
i started out with a bombay beer which was big enough for two . [O] [A] [S]	[O] big [A] bombay beer [S] good
i started out with a bombay beer which was big enough for two . [O] [S] [A]	[O] big [S] good [A] bombay beer
i started out with a bombay beer which was big enough for two . [A] [O] [S]	[A] bombay beer [O] big [S] good
i started out with a bombay beer which was big enough for two . [A] [S] [O]	[A] bombay beer [S] good [O] big
i started out with a bombay beer which was big enough for two . [S] [O] [A]	[S] good [O] big [A] bombay beer
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date . [O] [A] [S]	[O] vibrant [A] decor [S] good [SSEP] [O] eye-pleasing [A] decor [S] good [SSEP] [O] great [A] dining hall [S] good
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date . [O] [S] [A]	[O] vibrant [S] good [A] decor [SSEP] [O] eye-pleasing [S] good [A] decor [SSEP] [O] great [S] good [A] dining hall
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date . [A] [O] [S]	[A] decor [O] vibrant [S] good [SSEP] [A] decor [O] eye-pleasing [S] good [SSEP] [A] dining hall [O] great [S] good
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date . [A] [S] [O]	[A] decor [S] good [O] vibrant [SSEP] [A] decor [S] good [O] eye-pleasing [SSEP] [A] dining hall [S] good [O] great
the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date . [S] [O] [A]	[S] good [O] vibrant [A] decor [SSEP] [S] good [O] eye-pleasing [A] decor [SSEP] [S] good [O] great [A] dining hall
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable . [O] [A] [S]	[O] excellent [A] sweet lassi [S] good [SSEP] [O] forgettable [A] rasamalai [S] bad
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable . [O] [S] [A]	[O] excellent [S] good [A] sweet lassi [SSEP] [O] forgettable [S] bad [A] rasamalai
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable . [A] [O] [S]	[A] sweet lassi [O] excellent [S] good [SSEP] [A] rasamalai [O] forgettable [S] bad
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable . [A] [S] [O]	[A] sweet lassi [S] good [O] excellent [SSEP] [A] rasamalai [S] bad [O] forgettable
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable . [S] [O] [A]	[S] good [O] excellent [A] sweet lassi [SSEP] [S] bad [O] forgettable [A] rasamalai
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return . [O] [A] [S]	[O] innovations [A] bistro fare [S] good [SSEP] [O] classic [A] food [S] good
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return . [O] [S] [A]	[O] innovations [S] good [A] bistro fare [SSEP] [O] classic [S] good [A] food
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return . [A] [O] [S]	[A] bistro fare [O] innovations [S] good [SSEP] [A] food [O] classic [S] good
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return . [A] [S] [O]	[A] bistro fare [S] good [O] innovations [SSEP] [A] food [S] good [O] classic
we 've been following chef lyle 's food around new york for 15 years and while remaining classic , his innovations with bistro fare have made us return and return . [S] [O] [A]	[S] good [O] innovations [A] bistro fare [SSEP] [S] good [O] classic [A] food
the best thing i tasted were the lambchops . [O] [A] [S]	[O] best [A] lambchops [S] good
the best thing i tasted were the lambchops . [O] [S] [A]	[O] best [S] good [A] lambchops
the best thing i tasted were the lambchops . [A] [O] [S]	[A] lambchops [O] best [S] good
the best thing i tasted were the lambchops . [A] [S] [O]	[A] lambchops [S] good [O] best
the best thing i tasted were the lambchops . [S] [O] [A]	[S] good [O] best [A] lambchops
in addition , the food is very good and the prices are reasonable . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] reasonable [A] prices [S] good
in addition , the food is very good and the prices are reasonable . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] reasonable [S] good [A] prices
in addition , the food is very good and the prices are reasonable . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] prices [O] reasonable [S] good
in addition , the food is very good and the prices are reasonable . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] prices [S] good [O] reasonable
in addition , the food is very good and the prices are reasonable . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] good [O] reasonable [A] prices
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts . [O] [A] [S]	[O] gracious [A] hosts [S] good
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts . [O] [S] [A]	[O] gracious [S] good [A] hosts
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts . [A] [O] [S]	[A] hosts [O] gracious [S] good
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts . [A] [S] [O]	[A] hosts [S] good [O] gracious
upon entering , we were greeted by the owners , steven and frederick , who went out of their way to be more than gracious hosts . [S] [O] [A]	[S] good [O] gracious [A] hosts
been going here since it opened have seen the quality value decrease considerably . [O] [A] [S]	[O] decrease [A] quality value [S] bad
been going here since it opened have seen the quality value decrease considerably . [O] [S] [A]	[O] decrease [S] bad [A] quality value
been going here since it opened have seen the quality value decrease considerably . [A] [O] [S]	[A] quality value [O] decrease [S] bad
been going here since it opened have seen the quality value decrease considerably . [A] [S] [O]	[A] quality value [S] bad [O] decrease
been going here since it opened have seen the quality value decrease considerably . [S] [O] [A]	[S] bad [O] decrease [A] quality value
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration . [O] [A] [S]	[O] complementary [A] amuse bouche [S] good [SSEP] [O] small [A] dessert [S] good
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration . [O] [S] [A]	[O] complementary [S] good [A] amuse bouche [SSEP] [O] small [S] good [A] dessert
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration . [A] [O] [S]	[A] amuse bouche [O] complementary [S] good [SSEP] [A] dessert [O] small [S] good
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration . [A] [S] [O]	[A] amuse bouche [S] good [O] complementary [SSEP] [A] dessert [S] good [O] small
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration . [S] [O] [A]	[S] good [O] complementary [A] amuse bouche [SSEP] [S] good [O] small [A] dessert
try the crunchy tuna , it is to die for . [O] [A] [S]	[O] try [A] crunchy tuna [S] good [SSEP] [O] die for [A] crunchy tuna [S] good
try the crunchy tuna , it is to die for . [O] [S] [A]	[O] try [S] good [A] crunchy tuna [SSEP] [O] die for [S] good [A] crunchy tuna
try the crunchy tuna , it is to die for . [A] [O] [S]	[A] crunchy tuna [O] try [S] good [SSEP] [A] crunchy tuna [O] die for [S] good
try the crunchy tuna , it is to die for . [A] [S] [O]	[A] crunchy tuna [S] good [O] try [SSEP] [A] crunchy tuna [S] good [O] die for
try the crunchy tuna , it is to die for . [S] [O] [A]	[S] good [O] try [A] crunchy tuna [SSEP] [S] good [O] die for [A] crunchy tuna
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . [O] [A] [S]	[O] favorite [A] sushi [S] good
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . [O] [S] [A]	[O] favorite [S] good [A] sushi
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . [A] [O] [S]	[A] sushi [O] favorite [S] good
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . [A] [S] [O]	[A] sushi [S] good [O] favorite
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city . [S] [O] [A]	[S] good [O] favorite [A] sushi
it is a lot of fun with live entertainment and all kinds of disney type special effects . [O] [A] [S]	[O] fun [A] live entertainment [S] good [SSEP] [O] fun [A] special effects [S] good
it is a lot of fun with live entertainment and all kinds of disney type special effects . [O] [S] [A]	[O] fun [S] good [A] live entertainment [SSEP] [O] fun [S] good [A] special effects
it is a lot of fun with live entertainment and all kinds of disney type special effects . [A] [O] [S]	[A] live entertainment [O] fun [S] good [SSEP] [A] special effects [O] fun [S] good
it is a lot of fun with live entertainment and all kinds of disney type special effects . [A] [S] [O]	[A] live entertainment [S] good [O] fun [SSEP] [A] special effects [S] good [O] fun
it is a lot of fun with live entertainment and all kinds of disney type special effects . [S] [O] [A]	[S] good [O] fun [A] live entertainment [SSEP] [S] good [O] fun [A] special effects
if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) . [O] [A] [S]	[O] perfect [A] sushi [S] good
if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) . [O] [S] [A]	[O] perfect [S] good [A] sushi
if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) . [A] [O] [S]	[A] sushi [O] perfect [S] good
if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) . [A] [S] [O]	[A] sushi [S] good [O] perfect
if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's ( east side ) . [S] [O] [A]	[S] good [O] perfect [A] sushi
be careful of portions - they 're huge . [O] [A] [S]	[O] huge [A] portions [S] good
be careful of portions - they 're huge . [O] [S] [A]	[O] huge [S] good [A] portions
be careful of portions - they 're huge . [A] [O] [S]	[A] portions [O] huge [S] good
be careful of portions - they 're huge . [A] [S] [O]	[A] portions [S] good [O] huge
be careful of portions - they 're huge . [S] [O] [A]	[S] good [O] huge [A] portions
the steak tartare is a great bet , they fix it for you at the table . [O] [A] [S]	[O] great [A] steak tartare [S] good
the steak tartare is a great bet , they fix it for you at the table . [O] [S] [A]	[O] great [S] good [A] steak tartare
the steak tartare is a great bet , they fix it for you at the table . [A] [O] [S]	[A] steak tartare [O] great [S] good
the steak tartare is a great bet , they fix it for you at the table . [A] [S] [O]	[A] steak tartare [S] good [O] great
the steak tartare is a great bet , they fix it for you at the table . [S] [O] [A]	[S] good [O] great [A] steak tartare
great for large groups and celebrations - our super happy waiter was the entertainment of the evening . [O] [A] [S]	[O] super happy [A] waiter [S] good
great for large groups and celebrations - our super happy waiter was the entertainment of the evening . [O] [S] [A]	[O] super happy [S] good [A] waiter
great for large groups and celebrations - our super happy waiter was the entertainment of the evening . [A] [O] [S]	[A] waiter [O] super happy [S] good
great for large groups and celebrations - our super happy waiter was the entertainment of the evening . [A] [S] [O]	[A] waiter [S] good [O] super happy
great for large groups and celebrations - our super happy waiter was the entertainment of the evening . [S] [O] [A]	[S] good [O] super happy [A] waiter
plus , on wednesday nights the house wine is unlimited ! [O] [A] [S]	[O] unlimited [A] house wine [S] good
plus , on wednesday nights the house wine is unlimited ! [O] [S] [A]	[O] unlimited [S] good [A] house wine
plus , on wednesday nights the house wine is unlimited ! [A] [O] [S]	[A] house wine [O] unlimited [S] good
plus , on wednesday nights the house wine is unlimited ! [A] [S] [O]	[A] house wine [S] good [O] unlimited
plus , on wednesday nights the house wine is unlimited ! [S] [O] [A]	[S] good [O] unlimited [A] house wine
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup . [O] [A] [S]	[O] changed [A] management [S] ok [SSEP] [O] great big [A] door [S] good
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup . [O] [S] [A]	[O] changed [S] ok [A] management [SSEP] [O] great big [S] good [A] door
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup . [A] [O] [S]	[A] management [O] changed [S] ok [SSEP] [A] door [O] great big [S] good
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup . [A] [S] [O]	[A] management [S] ok [O] changed [SSEP] [A] door [S] good [O] great big
however , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup . [S] [O] [A]	[S] ok [O] changed [A] management [SSEP] [S] good [O] great big [A] door
we wo n't go to this place again for a good meal . [O] [A] [S]	[O] good [A] meal [S] bad
we wo n't go to this place again for a good meal . [O] [S] [A]	[O] good [S] bad [A] meal
we wo n't go to this place again for a good meal . [A] [O] [S]	[A] meal [O] good [S] bad
we wo n't go to this place again for a good meal . [A] [S] [O]	[A] meal [S] bad [O] good
we wo n't go to this place again for a good meal . [S] [O] [A]	[S] bad [O] good [A] meal
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance . [O] [A] [S]	[O] moist [A] barbecued codfish [S] good [SSEP] [O] bland [A] seasoning [S] bad [SSEP] [O] overwhelmed [A] spice rub [S] bad [SSEP] [O] to enhance [A] herb mix [S] bad [SSEP] [O] to enhance [A] sauce [S] bad
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance . [O] [S] [A]	[O] moist [S] good [A] barbecued codfish [SSEP] [O] bland [S] bad [A] seasoning [SSEP] [O] overwhelmed [S] bad [A] spice rub [SSEP] [O] to enhance [S] bad [A] herb mix [SSEP] [O] to enhance [S] bad [A] sauce
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance . [A] [O] [S]	[A] barbecued codfish [O] moist [S] good [SSEP] [A] seasoning [O] bland [S] bad [SSEP] [A] spice rub [O] overwhelmed [S] bad [SSEP] [A] herb mix [O] to enhance [S] bad [SSEP] [A] sauce [O] to enhance [S] bad
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance . [A] [S] [O]	[A] barbecued codfish [S] good [O] moist [SSEP] [A] seasoning [S] bad [O] bland [SSEP] [A] spice rub [S] bad [O] overwhelmed [SSEP] [A] herb mix [S] bad [O] to enhance [SSEP] [A] sauce [S] bad [O] to enhance
barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance . [S] [O] [A]	[S] good [O] moist [A] barbecued codfish [SSEP] [S] bad [O] bland [A] seasoning [SSEP] [S] bad [O] overwhelmed [A] spice rub [SSEP] [S] bad [O] to enhance [A] herb mix [SSEP] [S] bad [O] to enhance [A] sauce
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny . [O] [A] [S]	[O] huge [A] dance floor [S] good [SSEP] [O] biggest [A] dance floor [S] good
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny . [O] [S] [A]	[O] huge [S] good [A] dance floor [SSEP] [O] biggest [S] good [A] dance floor
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny . [A] [O] [S]	[A] dance floor [O] huge [S] good [SSEP] [A] dance floor [O] biggest [S] good
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny . [A] [S] [O]	[A] dance floor [S] good [O] huge [SSEP] [A] dance floor [S] good [O] biggest
after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny . [S] [O] [A]	[S] good [O] huge [A] dance floor [SSEP] [S] good [O] biggest [A] dance floor
taj mahal offeres gret value and great food . [O] [A] [S]	[O] great [A] value [S] good [SSEP] [O] great [A] food [S] good
taj mahal offeres gret value and great food . [O] [S] [A]	[O] great [S] good [A] value [SSEP] [O] great [S] good [A] food
taj mahal offeres gret value and great food . [A] [O] [S]	[A] value [O] great [S] good [SSEP] [A] food [O] great [S] good
taj mahal offeres gret value and great food . [A] [S] [O]	[A] value [S] good [O] great [SSEP] [A] food [S] good [O] great
taj mahal offeres gret value and great food . [S] [O] [A]	[S] good [O] great [A] value [SSEP] [S] good [O] great [A] food
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience . [O] [A] [S]	[O] satisfied [A] dinner [S] good
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience . [O] [S] [A]	[O] satisfied [S] good [A] dinner
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience . [A] [O] [S]	[A] dinner [O] satisfied [S] good
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience . [A] [S] [O]	[A] dinner [S] good [O] satisfied
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience . [S] [O] [A]	[S] good [O] satisfied [A] dinner
outstanding bagels , but you get what you pay for . [O] [A] [S]	[O] outstanding [A] bagels [S] good
outstanding bagels , but you get what you pay for . [O] [S] [A]	[O] outstanding [S] good [A] bagels
outstanding bagels , but you get what you pay for . [A] [O] [S]	[A] bagels [O] outstanding [S] good
outstanding bagels , but you get what you pay for . [A] [S] [O]	[A] bagels [S] good [O] outstanding
outstanding bagels , but you get what you pay for . [S] [O] [A]	[S] good [O] outstanding [A] bagels
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread ! [O] [A] [S]	[O] best [A] crust [S] good [SSEP] [O] freshly baked [A] bread [S] good
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread ! [O] [S] [A]	[O] best [S] good [A] crust [SSEP] [O] freshly baked [S] good [A] bread
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread ! [A] [O] [S]	[A] crust [O] best [S] good [SSEP] [A] bread [O] freshly baked [S] good
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread ! [A] [S] [O]	[A] crust [S] good [O] best [SSEP] [A] bread [S] good [O] freshly baked
pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread ! [S] [O] [A]	[S] good [O] best [A] crust [SSEP] [S] good [O] freshly baked [A] bread
i found it on a cold night , the perfect spot to warm up . [O] [A] [S]	[O] perfect [A] spot [S] good
i found it on a cold night , the perfect spot to warm up . [O] [S] [A]	[O] perfect [S] good [A] spot
i found it on a cold night , the perfect spot to warm up . [A] [O] [S]	[A] spot [O] perfect [S] good
i found it on a cold night , the perfect spot to warm up . [A] [S] [O]	[A] spot [S] good [O] perfect
i found it on a cold night , the perfect spot to warm up . [S] [O] [A]	[S] good [O] perfect [A] spot
service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared . [O] [A] [S]	[O] warm [A] service [S] good [SSEP] [O] attentive [A] service [S] good [SSEP] [O] exellent [A] beef carpaachio [S] good [SSEP] [O] fresh [A] pasta [S] good [SSEP] [O] well-prepared [A] pasta [S] good [SSEP] [O] huge [A] portion [S] good
service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared . [O] [S] [A]	[O] warm [S] good [A] service [SSEP] [O] attentive [S] good [A] service [SSEP] [O] exellent [S] good [A] beef carpaachio [SSEP] [O] fresh [S] good [A] pasta [SSEP] [O] well-prepared [S] good [A] pasta [SSEP] [O] huge [S] good [A] portion
service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared . [A] [O] [S]	[A] service [O] warm [S] good [SSEP] [A] service [O] attentive [S] good [SSEP] [A] beef carpaachio [O] exellent [S] good [SSEP] [A] pasta [O] fresh [S] good [SSEP] [A] pasta [O] well-prepared [S] good [SSEP] [A] portion [O] huge [S] good
service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared . [A] [S] [O]	[A] service [S] good [O] warm [SSEP] [A] service [S] good [O] attentive [SSEP] [A] beef carpaachio [S] good [O] exellent [SSEP] [A] pasta [S] good [O] fresh [SSEP] [A] pasta [S] good [O] well-prepared [SSEP] [A] portion [S] good [O] huge
service was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared . [S] [O] [A]	[S] good [O] warm [A] service [SSEP] [S] good [O] attentive [A] service [SSEP] [S] good [O] exellent [A] beef carpaachio [SSEP] [S] good [O] fresh [A] pasta [SSEP] [S] good [O] well-prepared [A] pasta [SSEP] [S] good [O] huge [A] portion
best italian food i ever had ( and being italian , that means alot ) . [O] [A] [S]	[O] best [A] italian food [S] good
best italian food i ever had ( and being italian , that means alot ) . [O] [S] [A]	[O] best [S] good [A] italian food
best italian food i ever had ( and being italian , that means alot ) . [A] [O] [S]	[A] italian food [O] best [S] good
best italian food i ever had ( and being italian , that means alot ) . [A] [S] [O]	[A] italian food [S] good [O] best
best italian food i ever had ( and being italian , that means alot ) . [S] [O] [A]	[S] good [O] best [A] italian food
i will recommend scopa to all of my friends for a place to go for wonderful italian food . [O] [A] [S]	[O] wonderful [A] italian food [S] good
i will recommend scopa to all of my friends for a place to go for wonderful italian food . [O] [S] [A]	[O] wonderful [S] good [A] italian food
i will recommend scopa to all of my friends for a place to go for wonderful italian food . [A] [O] [S]	[A] italian food [O] wonderful [S] good
i will recommend scopa to all of my friends for a place to go for wonderful italian food . [A] [S] [O]	[A] italian food [S] good [O] wonderful
i will recommend scopa to all of my friends for a place to go for wonderful italian food . [S] [O] [A]	[S] good [O] wonderful [A] italian food
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) . [O] [A] [S]	[O] great [A] bar [S] good [SSEP] [O] gorgeous [A] bartenders [S] good
great bar , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) . [O] [S] [A]	[O] great [S] good [A] bar [SSEP] [O] gorgeous [S] good [A] bartenders
